Date,Available Beds,Wasted Beds,Daily Efficiency,Cumulative Available Beds,Cumulative Wasted Beds,Cumulative Efficiency
2023-06-26,26.0,1.0,0.9615384615384616,4587.0,161.0,0.9649008066274253
2023-06-27,26.0,1.0,0.9615384615384616,4613.0,162.0,0.9648818556254065
2023-06-28,26.0,0.0,1.0,4639.0,162.0,0.9650786807501617
2023-06-29,26.0,0.0,1.0,4665.0,162.0,0.9652733118971061
2023-06-30,26.0,0.0,1.0,4691.0,162.0,0.9654657855467917
2023-07-01,26.0,0.0,1.0,4717.0,162.0,0.9656561373754505
2023-07-02,26.0,0.0,1.0,4743.0,162.0,0.9658444022770398
2023-07-03,25.0,0.0,1.0,4768.0,162.0,0.9660234899328859
2023-07-04,26.0,0.0,1.0,4794.0,162.0,0.9662077596996246
2023-07-05,26.0,0.0,1.0,4820.0,162.0,0.9663900414937759
2023-07-06,26.0,0.0,1.0,4846.0,162.0,0.9665703673132481
2023-07-07,26.0,0.0,1.0,4872.0,162.0,0.9667487684729064
2023-07-08,26.0,0.0,1.0,4898.0,162.0,0.9669252756227031
2023-07-09,26.0,0.0,1.0,4924.0,162.0,0.9670999187652315
2023-07-10,26.0,0.0,1.0,4950.0,162.0,0.9672727272727273
2023-07-11,24.0,0.0,1.0,4974.0,162.0,0.9674306393244874
2023-07-12,24.0,0.0,1.0,4998.0,162.0,0.9675870348139256
2023-07-13,26.0,0.0,1.0,5024.0,162.0,0.9677547770700637
2023-07-14,26.0,0.0,1.0,5050.0,162.0,0.9679207920792079
2023-07-15,26.0,2.0,0.9230769230769231,5076.0,164.0,0.9676910953506698
2023-07-16,26.0,1.0,0.9615384615384616,5102.0,165.0,0.9676597412779302
2023-07-17,26.0,1.0,0.9615384615384616,5128.0,166.0,0.967628705148206
2023-07-18,26.0,0.0,1.0,5154.0,166.0,0.9677920062087699
2023-07-19,26.0,1.0,0.9615384615384616,5180.0,167.0,0.9677606177606177
2023-07-20,26.0,1.0,0.9615384615384616,5206.0,168.0,0.9677295428351902
2023-07-21,26.0,0.0,1.0,5232.0,168.0,0.9678899082568807
2023-07-22,24.0,0.0,1.0,5256.0,168.0,0.9680365296803652
2023-07-23,26.0,1.0,0.9615384615384616,5282.0,169.0,0.9680045437334343
2023-07-24,26.0,1.0,0.9615384615384616,5308.0,170.0,0.9679728711379051
2023-07-25,26.0,0.0,1.0,5334.0,170.0,0.9681289838770154
2023-07-26,26.0,0.0,1.0,5360.0,170.0,0.9682835820895522
2023-07-27,26.0,0.0,1.0,5386.0,170.0,0.9684366877088748
2023-07-28,26.0,0.0,1.0,5412.0,170.0,0.9685883222468589
2023-07-29,26.0,0.0,1.0,5438.0,170.0,0.968738506803972
2023-07-30,26.0,0.0,1.0,5464.0,170.0,0.968887262079063
2023-07-31,22.0,0.0,1.0,5486.0,170.0,0.969012030623405
2023-08-01,26.0,0.0,1.0,5512.0,170.0,0.9691582002902758
2023-08-02,26.0,0.0,1.0,5538.0,170.0,0.9693029974720115
2023-08-03,20.0,0.0,1.0,5558.0,170.0,0.9694134580784455
2023-08-04,22.0,0.0,1.0,5580.0,170.0,0.9695340501792115
2023-08-05,26.0,0.0,1.0,5606.0,170.0,0.9696753478415983
2023-08-06,26.0,0.0,1.0,5632.0,170.0,0.9698153409090909
2023-08-07,26.0,0.0,1.0,5658.0,170.0,0.9699540473665607
2023-08-08,24.0,0.0,1.0,5682.0,170.0,0.970080957409363
2023-08-09,24.0,0.0,1.0,5706.0,170.0,0.9702067998597967
2023-08-10,24.0,0.0,1.0,5730.0,170.0,0.9703315881326352
2023-08-11,24.0,0.0,1.0,5754.0,170.0,0.9704553354188391
2023-08-12,26.0,0.0,1.0,5780.0,170.0,0.9705882352941176
2023-08-13,26.0,0.0,1.0,5806.0,170.0,0.9707199448846021
2023-08-14,26.0,0.0,1.0,5832.0,170.0,0.9708504801097394
2023-08-15,26.0,1.0,0.9615384615384616,5858.0,171.0,0.9708091498805053
2023-08-16,24.0,0.0,1.0,5882.0,171.0,0.9709282556953417
2023-08-17,26.0,0.0,1.0,5908.0,171.0,0.9710561949898443
